,GEOID,new_district
687,1400000US05131000800,3.0
688,1400000US05131001001,3.0
689,1400000US05131001002,3.0
690,1400000US05131001101,3.0
691,1400000US05131001102,3.0
692,1400000US05131001201,3.0
693,1400000US05131001202,3.0
694,1400000US05131001301,3.0
695,1400000US05131001305,3.0
696,1400000US05131001306,3.0
697,1400000US05131001307,3.0
698,1400000US05131001308,3.0
699,1400000US05131001309,3.0
700,1400000US05131001310,3.0
701,1400000US05131001311,3.0
702,1400000US05131001312,3.0
703,1400000US05131010101,3.0
704,1400000US05131010102,3.0
705,1400000US05131010201,3.0
706,1400000US05131010202,3.0
707,1400000US05131010301,3.0
708,1400000US05131010303,3.0
709,1400000US05131010304,3.0
710,1400000US05133080100,4.0
711,1400000US05133080200,4.0
712,1400000US05133080300,4.0
713,1400000US05133080400,4.0
714,1400000US05135470100,1.0
715,1400000US05135470201,1.0
716,1400000US05135470202,1.0
717,1400000US05135470300,1.0
718,1400000US05135470401,1.0
719,1400000US05135470402,1.0
720,1400000US05137950100,1.0
721,1400000US05137950201,1.0
722,1400000US05137950203,1.0
723,1400000US05137950204,1.0
724,1400000US05139950100,4.0
725,1400000US05139950200,4.0
726,1400000US05139950300,4.0
727,1400000US05139950401,4.0
728,1400000US05139950402,4.0
729,1400000US05139950501,4.0
730,1400000US05139950502,4.0
731,1400000US05139950600,4.0
732,1400000US05139950700,4.0
733,1400000US05139950800,4.0
734,1400000US05139950900,4.0
735,1400000US05139951000,4.0
736,1400000US05141460100,1.0
737,1400000US05141460200,1.0
738,1400000US05141460301,1.0
739,1400000US05141460303,1.0
740,1400000US05141460304,1.0
741,1400000US05141460400,1.0
742,1400000US05143010101,3.0
743,1400000US05143010107,3.0
744,1400000US05143010108,3.0
745,1400000US05143010109,3.0
746,1400000US05143010110,3.0
747,1400000US05143010111,3.0
748,1400000US05143010112,3.0
749,1400000US05143010113,3.0
750,1400000US05143010114,3.0
751,1400000US05143010115,3.0
752,1400000US05143010201,3.0
753,1400000US05143010202,3.0
754,1400000US05143010303,3.0
755,1400000US05143010304,3.0
756,1400000US05143010305,3.0
757,1400000US05143010306,3.0
758,1400000US05143010307,3.0
759,1400000US05143010401,3.0
760,1400000US05143010402,3.0
761,1400000US05143010404,3.0
762,1400000US05143010405,3.0
763,1400000US05143010501,3.0
764,1400000US05143010508,3.0
765,1400000US05143010510,3.0
766,1400000US05143010511,3.0
767,1400000US05143010512,3.0
768,1400000US05143010513,3.0
769,1400000US05143010514,3.0
770,1400000US05143010515,3.0
771,1400000US05143010516,3.0
772,1400000US05143010517,3.0
773,1400000US05143010518,3.0
774,1400000US05143010519,3.0
775,1400000US05143010520,3.0
776,1400000US05143010521,3.0
777,1400000US05143010601,3.0
778,1400000US05143010602,3.0
779,1400000US05143010703,3.0
780,1400000US05143010704,3.0
781,1400000US05143010705,3.0
782,1400000US05143010706,3.0
783,1400000US05143011002,3.0
784,1400000US05143011003,3.0
785,1400000US05143011004,3.0
786,1400000US05143011005,3.0
787,1400000US05143011006,3.0
788,1400000US05143011103,3.0
789,1400000US05143011104,3.0
790,1400000US05143011105,3.0
791,1400000US05143011106,3.0
792,1400000US05143011107,3.0
793,1400000US05143011200,3.0
794,1400000US05143011301,3.0
795,1400000US05143011302,3.0
796,1400000US05145070100,1.0
797,1400000US05145070200,1.0
798,1400000US05145070300,1.0
799,1400000US05145070401,1.0
800,1400000US05145070402,1.0
801,1400000US05145070501,1.0
802,1400000US05145070502,1.0
803,1400000US05145070600,1.0
804,1400000US05145070700,1.0
805,1400000US05145070801,1.0
806,1400000US05145070802,1.0
807,1400000US05145070901,1.0
808,1400000US05145070902,1.0
809,1400000US05145071001,1.0
810,1400000US05145071002,1.0
811,1400000US05145071101,1.0
812,1400000US05145071102,1.0
813,1400000US05145071201,1.0
814,1400000US05145071202,1.0
815,1400000US05147490100,4.0
816,1400000US05147490200,4.0
817,1400000US05149952301,4.0
818,1400000US05149952302,4.0
819,1400000US05149952401,4.0
820,1400000US05149952402,4.0
821,1400000US05149952500,4.0
822,1400000US05149952600,4.0
